activite;classeActivite;groupeActivite;divisionActivite;sectionActivite
Autres activités de télécommunication;Autres activités de télécommunication;Autres activités de télécommunication;Télécommunications;Information et communication
Commerce de gros (commerce interentreprises) de déchets et débris;Commerce de gros de déchets et débris;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de voitures et de véhicules automobiles légers;Commerce de voitures et de véhicules automobiles légers;Commerce de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
"Apprêt et tannage des cuirs; préparation et teinture des fourrures";"Apprêt et tannage des cuirs; préparation et teinture des fourrures";"Apprêt et tannage des cuirs; préparation et teinture des fourrures; fabrication d'articles de voyage, de maroquinerie et de sellerie";Industrie du cuir et de la chaussure;Industrie manufacturière
Autres services d'information n.c.a.;Autres services d'information n.c.a.;Autres services d'information;Services d'information;Information et communication
Fabrication de charpentes et d'autres menuiseries;Fabrication de charpentes et d'autres menuiseries;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Hébergement touristique et autre hébergement de courte durée;Hébergement touristique et autre hébergement de courte durée;Hébergement touristique et autre hébergement de courte durée;Hébergement;Hébergement et restauration
Fabrication d'autres articles métalliques;Fabrication d'autres produits métalliques n.c.a.;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Activités vétérinaires;Activités vétérinaires;Activités vétérinaires;Activités vétérinaires;Activités spécialisées, scientifiques et techniques
Création artistique relevant des arts plastiques;Création artistique;Activités créatives, artistiques et de spectacle;Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Commerce de gros (commerce interentreprises) d'appareils sanitaires et de produits de décoration;Commerce de gros de bois, de matériaux de construction et d'appareils sanitaires;Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros (commerce interentreprises) de textiles;Commerce de gros de textiles;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Édition de livres;Édition de livres;Édition de livres et périodiques et autres activités d'édition;Édition;Information et communication
Téléphériques et remontées mécaniques;Autres transports terrestres de voyageurs n.c.a.;Autres transports terrestres de voyageurs;Transports terrestres et transport par conduites;Transports et entreposage
Culture d'agrumes;Culture d'agrumes;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Réparation de meubles et d'équipements du foyer;Réparation de meubles et d'équipements du foyer;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Commerce de gros (commerce interentreprises) de produits pharmaceutiques;Commerce de gros de produits pharmaceutiques;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres activités liées au sport;Autres activités liées au sport;Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Réparation d'articles d'horlogerie et de bijouterie;Réparation d'articles d'horlogerie et de bijouterie;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Fabrication de briques, tuiles et produits de construction, en terre cuite;Fabrication de briques, tuiles et produits de construction, en terre cuite;Fabrication de matériaux de construction en terre cuite;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
