categorieJuridique;classeCategorieJuridique;superClasseCategorieJuridique
Centre Intercommunal d'action sociale (CIAS);Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SARL coopérative d'intérêt maritime ;Société à responsabilité limitée (SARL);Société commerciale
Mutualité sociale agricole ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Société en commandite par actions coopérative ;Société en commandite;Société commerciale
Groupement pastoral ;Société civile;Autre personne morale immatriculée au RCS
SA coopérative artisanale à directoire ;Société anonyme à directoire;Société commerciale
Association intermédiaire ;Association loi 1901 ou assimilé;Groupement de droit privé
SA à participation ouvrière à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Secteur de commune ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Entrepreneur individuel;Entrepreneur individuel;Entrepreneur individuel
Société civile coopérative de construction ;Société civile;Autre personne morale immatriculée au RCS
Société en commandite simple coopérative ;Société en commandite;Société commerciale
Service central d'un ministère ;Administration de l'état;Personne morale et organisme soumis au droit administratif
Paroisse hors zone concordataire ;Paroisse hors zone concordataire;Groupement de droit privé non doté de la personnalité morale
Société créée de fait avec personne morale ;Société créée de fait;Groupement de droit privé non doté de la personnalité morale
SCP de directeurs de laboratoire d'analyse médicale ;Société civile;Autre personne morale immatriculée au RCS
Service déconcentré de l'État à compétence (inter) départementale ;Administration de l'état;Personne morale et organisme soumis au droit administratif
Fiducie ;Fiducie ;Groupement de droit privé non doté de la personnalité morale
Association foncière urbaine ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Institution interdépartementale ou entente;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Etablissement public administratif, cercle et foyer dans les armées ;Autre personne morale de droit public administratif;Personne morale et organisme soumis au droit administratif
Caisse d'Épargne et de Prévoyance ;Caisse d'épargne et de prévoyance;Autre personne morale immatriculée au RCS
SARL d'aménagement foncier et d'équipement rural (SAFER);Société à responsabilité limitée (SARL);Société commerciale
Autre SARL coopérative ;Société à responsabilité limitée (SARL);Société commerciale
Société civile coopérative d'intérêt maritime ;Société civile;Autre personne morale immatriculée au RCS
SA nationale à directoire ;Société anonyme à directoire;Société commerciale
Société civile foncière ;Société civile;Autre personne morale immatriculée au RCS
Centre communal d'action sociale ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SA d'aménagement foncier et d'équipement rural (SAFER) à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Régime maladie des non-salariés non agricoles ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Société civile d'exploitation agricole ;Société civile;Autre personne morale immatriculée au RCS
Office public d'habitation à loyer modéré (OPHLM) ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Société civile de placement collectif immobilier (SCPI) ;Société civile;Autre personne morale immatriculée au RCS
Association syndicale autorisée ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Institution interrégionale ou entente ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Autorité constitutionnelle ;Administration de l'état;Personne morale et organisme soumis au droit administratif
Établissement public local à caractère industriel ou commercial ;Etablissement public ou régie à caractère industriel ou commercial;Personne morale de droit public soumise au droit commercial
SA d'attribution à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Sociétés Interprofessionnelles de Soins Ambulatoires ;Société civile;Autre personne morale immatriculée au RCS
SA coopérative artisanale à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Groupement d'intérêt public (GIP) ;Autre personne morale de droit public administratif;Personne morale et organisme soumis au droit administratif
Autre établissement public national d'enseignement ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Syndicat de salariés ;Organisme professionnel;Organisme privé spécialisé
SA coopérative de construction à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Syndicat intercommunal à vocation unique (SIVU) ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Établissement public national ayant fonction d'administration centrale ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Organisme de placement collectif en valeurs mobilières sans personnalité morale;Organisme de placement collectif en valeurs mobilières sans personnalité morale;Organisme de placement collectif en valeurs mobilières sans personnalité morale
Service déconcentré à compétence nationale d'un ministère (hors Défense);Administration de l'état;Personne morale et organisme soumis au droit administratif
Métropole;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Association syndicale libre ;Syndicat de propriétaires;Groupement de droit privé
SA d'attribution à directoire;Société anonyme à directoire;Société commerciale
Établissement public local culturel ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Autre établissement public national administratif à compétence territoriale limitée ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SARL mixte d'intérêt agricole (SMIA) ;Société à responsabilité limitée (SARL);Société commerciale
Caisse de crédit municipal ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Région ;Collectivité territoriale;Personne morale et organisme soumis au droit administratif
SCP de dentistes ;Société civile;Autre personne morale immatriculée au RCS
SA de HLM à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Société civile immobilière de construction-vente;Société civile;Autre personne morale immatriculée au RCS
SA d'intérêt collectif agricole (SICA) à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Société civile de moyens ;Société civile;Autre personne morale immatriculée au RCS
SA coopérative de production de HLM à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Fonds à forme sociétale à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Établissement public des cultes d'Alsace-Lorraine ;Autre personne morale de droit public administratif;Personne morale et organisme soumis au droit administratif
Fonds à forme sociétale à directoire;Société anonyme à directoire;Société commerciale
Association d'avocats à responsabilité professionnelle individuelle;Association loi 1901 ou assimilé;Groupement de droit privé
Groupement foncier agricole ;Société civile;Autre personne morale immatriculée au RCS
SCP de notaires ;Société civile;Autre personne morale immatriculée au RCS
Syndicat inter hospitalier ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Régie d'une collectivité locale à caractère administratif ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SA nationale à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
SCP d'infirmiers ;Société civile;Autre personne morale immatriculée au RCS
Ministère ;Administration de l'état;Personne morale et organisme soumis au droit administratif
SCP d'avocats aux conseils ;Société civile;Autre personne morale immatriculée au RCS
Société créée de fait entre personnes physiques ;Société créée de fait;Groupement de droit privé non doté de la personnalité morale
SCP d'architectes ;Société civile;Autre personne morale immatriculée au RCS
Société coopérative de banque populaire ;Société coopérative commerciale particulière;Société commerciale
SA coopérative de transport à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
SA de crédit immobilier à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
(Autre) Établissement public administratif local ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Groupement d'employeurs ;Association loi 1901 ou assimilé;Groupement de droit privé
Société de Participations Financières de Profession Libérale Société par actions simplifiée (SPFPL SAS);Société par actions simplifiée;Société commerciale
Société en commandite par actions ;Société en commandite;Société commerciale
SA immobilière pour le commerce et l'industrie (SICOMI) à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Association foncière de remembrement ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Société civile d'intérêt collectif agricole (SICA) ;Société civile;Autre personne morale immatriculée au RCS
SA à participation ouvrière à directoire ;Société anonyme à directoire;Société commerciale
SARL d'attribution ;Société à responsabilité limitée (SARL);Société commerciale
Société en commandite simple ;Société en commandite;Société commerciale
Association non déclarée ;Association loi 1901 ou assimilé;Groupement de droit privé
SA immobilière pour le commerce et l'industrie (SICOMI) à directoire;Société anonyme à directoire;Société commerciale
SA coopérative de consommation à directoire ;Société anonyme à directoire;Société commerciale
Commission syndicale pour la gestion des biens indivis des communes ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SARL immobilière pour le commerce et l'industrie (SICOMI) ;Société à responsabilité limitée (SARL);Société commerciale
Régie d'une collectivité locale à caractère industriel ou commercial ;Etablissement public ou régie à caractère industriel ou commercial;Personne morale de droit public soumise au droit commercial
Caisse de crédit agricole mutuel ;Société civile;Autre personne morale immatriculée au RCS
SA coopérative de commerçants-détaillants à directoire;Société anonyme à directoire;Société commerciale
Société de Participations Financières de Profession Libérale Société en commandite par actions (SPFPL SCA);Société en commandite;Société commerciale
Communauté de communes ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SA immobilière d'investissement à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
SA union de sociétés coopératives à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
SARL coopérative de construction ;Société à responsabilité limitée (SARL);Société commerciale
District urbain ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Association déclarée d'insertion par l'économique;Association loi 1901 ou assimilé;Groupement de droit privé
Établissement d'hospitalisation ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SARL union de sociétés coopératives ;Société à responsabilité limitée (SARL);Société commerciale
SA de crédit immobilier à directoire ;Société anonyme à directoire;Société commerciale
SA coopérative de transport à directoire ;Société anonyme à directoire;Société commerciale
Caisse (fédérale) de crédit mutuel ;Société coopérative commerciale particulière;Société commerciale
Autre groupement de droit privé non doté de la personnalité morale ;Autre groupement de droit privé non doté de la personnalité morale;Groupement de droit privé non doté de la personnalité morale
Organisme consulaire ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Comité social économique d'établissement ;Comité d'entreprise;Organisme privé spécialisé
Syndicat de copropriété ;Syndicat de propriétaires;Groupement de droit privé
SCP d'avocats ;Société civile;Autre personne morale immatriculée au RCS
SCP de vétérinaires ;Société civile;Autre personne morale immatriculée au RCS
Autre personne morale de droit privé ;Autre personne morale de droit privé;Groupement de droit privé
SA mixte d'intérêt agricole (SMIA);Société anonyme à directoire;Société commerciale
SCP de commissaires aux comptes ;Société civile;Autre personne morale immatriculée au RCS
Assujetti unique à la TVA;Assujetti unique à la TVA;Groupement de droit privé non doté de la personnalité morale
Ensemble urbain ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Société à responsabilité limitée (sans autre indication);Société à responsabilité limitée (SARL);Société commerciale
Comité social économique d’entreprise;Comité d'entreprise;Organisme privé spécialisé
SARL coopérative de transport;Société à responsabilité limitée (SARL);Société commerciale
SA union de sociétés coopératives à directoire ;Société anonyme à directoire;Société commerciale
Établissement public local d'enseignement ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Régime d'assurance chômage ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Autre société civile ;Société civile;Autre personne morale immatriculée au RCS
SA coopérative de commerçants-détaillants à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Société de Participations Financières de Profession Libérale Société anonyme à Directoire (SPFPL SA à directoire);Société anonyme à directoire;Société commerciale
SA d'intérêt collectif agricole (SICA);Société anonyme à directoire;Société commerciale
Société civile immobilière ;Société civile;Autre personne morale immatriculée au RCS
SCP de commissaires-priseurs ;Société civile;Autre personne morale immatriculée au RCS
SA coopérative de consommation à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Établissement public national à caractère scientifique culturel et professionnel ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Caisse des écoles ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SARL d'intérêt collectif agricole (SICA) ;Société à responsabilité limitée (SARL);Société commerciale
Groupement agricole foncier ;Société civile;Autre personne morale immatriculée au RCS
Service départemental d'incendie et de secours (SDIS);Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Groupement de coopération sanitaire à gestion publique ;Autre personne morale de droit public administratif;Personne morale et organisme soumis au droit administratif
Société d'exercice libéral en commandite par actions ;Société en commandite;Société commerciale
SCP d'avoués d'appel ;Société civile;Autre personne morale immatriculée au RCS
Fondation ;Fondation;Groupement de droit privé
SA coopérative (d'intérêt) maritime à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Société en libre partenariat (SLP);Société en commandite;Société commerciale
Autre régime de prévoyance sociale ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Pôle d'équilibre territorial et rural (PETR);Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SA de HLM à directoire;Société anonyme à directoire;Société commerciale
Groupement européen d'intérêt économique (GEIE) ;Groupement d'intérêt économique;Autre personne morale immatriculée au RCS
SARL immobilière de gestion;Société à responsabilité limitée (SARL);Société commerciale
Société civile immobilière d' accession progressive à la propriété;Société civile;Autre personne morale immatriculée au RCS
Pôle métropolitain;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Société civile d'attribution ;Société civile;Autre personne morale immatriculée au RCS
SA immobilière d'investissement à directoire ;Société anonyme à directoire;Société commerciale
Autre personne de droit privé inscrite au registre du commerce et des sociétés;Autre personne morale de droit privé inscrite au registre du commerce et des sociétés;Autre personne morale immatriculée au RCS
Exploitation agricole à responsabilité limitée ;Société civile;Autre personne morale immatriculée au RCS
Société de Participations Financières de Profession Libérale Société à responsabilité limitée (SPFPL SARL);Société à responsabilité limitée (SARL);Société commerciale
SCP de masseurs-kinésithérapeutes;Société civile;Autre personne morale immatriculée au RCS
Société en participation avec personne morale ;Société en participation;Groupement de droit privé non doté de la personnalité morale
SARL nationale ;Société à responsabilité limitée (SARL);Société commerciale
Association coopérative inscrite (droit local Alsace Moselle) ;Société coopérative commerciale particulière;Société commerciale
(Autre) Collectivité territoriale ;Collectivité territoriale;Personne morale et organisme soumis au droit administratif
Département ;Collectivité territoriale;Personne morale et organisme soumis au droit administratif
Service déconcentré de l'État à compétence (inter) régionale ;Administration de l'état;Personne morale et organisme soumis au droit administratif
SCP de géomètres experts;Société civile;Autre personne morale immatriculée au RCS
Association de droit local (Bas-Rhin, Haut-Rhin et Moselle);Association loi 1901 ou assimilé;Groupement de droit privé
Société européenne ;Société européenne ;Société commerciale
Société d'exercice libéral à forme anonyme à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Groupement agricole d'exploitation en commun (GAEC) ;Société civile;Autre personne morale immatriculée au RCS
SARL coopérative artisanale ;Société à responsabilité limitée (SARL);Société commerciale
SA à conseil d'administration (s.a.i.);Société anonyme à conseil d'administration;Société commerciale
Société en participation de professions libérales ;Société en participation;Groupement de droit privé non doté de la personnalité morale
SAS, société par actions simplifiée;Société par actions simplifiée;Société commerciale
Société civile coopérative de consommation ;Société civile;Autre personne morale immatriculée au RCS
Assurance mutuelle agricole ;Organisme mutualiste;Organisme privé spécialisé
Indivision avec personne morale ;Indivision;Groupement de droit privé non doté de la personnalité morale
Groupement foncier et rural;Société civile;Autre personne morale immatriculée au RCS
SCP d'huissiers ;Société civile;Autre personne morale immatriculée au RCS
Coopérative d'utilisation de matériel agricole en commun (CUMA) ;Société coopérative agricole;Autre personne morale immatriculée au RCS
Caisse d'épargne et de prévoyance à forme coopérative ;Société coopérative commerciale particulière;Société commerciale
SA coopérative de production (SCOP) à directoire;Société anonyme à directoire;Société commerciale
Union de sociétés coopératives agricoles ;Société coopérative agricole;Autre personne morale immatriculée au RCS
Commune associée et commune déléguée ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Non renseigné;Non renseigné;Non renseigné
Centre technique industriel ou comité professionnel du développement économique ;Organisme professionnel;Organisme privé spécialisé
Section de commune ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Établissement public national à caractère industriel ou commercial non doté d'un comptable public ;Etablissement public ou régie à caractère industriel ou commercial;Personne morale de droit public soumise au droit commercial
SCP de conseils juridiques ;Société civile;Autre personne morale immatriculée au RCS
Indivision entre personnes physiques ;Indivision;Groupement de droit privé non doté de la personnalité morale
Autre personne morale de droit administratif ;Autre personne morale de droit public administratif;Personne morale et organisme soumis au droit administratif
Établissement public national à caractère industriel ou commercial doté d'un comptable public ;Etablissement public ou régie à caractère industriel ou commercial;Personne morale de droit public soumise au droit commercial
SA d'économie mixte à directoire ;Société anonyme à directoire;Société commerciale
(Autre) Service déconcentré de l'État à compétence territoriale ;Administration de l'état;Personne morale et organisme soumis au droit administratif
Exploitant public ;Etablissement public ou régie à caractère industriel ou commercial;Personne morale de droit public soumise au droit commercial
Autre société civile coopérative ;Société civile;Autre personne morale immatriculée au RCS
SA coopérative de construction à directoire;Société anonyme à directoire;Société commerciale
Caisse de crédit maritime mutuel ;Société coopérative commerciale particulière;Société commerciale
Établissement public local social et médico-social ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Institution de retraite supplémentaire ;Organisme de retraite à adhésion non obligatoire;Organisme privé spécialisé
Service du ministère de la Défense ;Administration de l'état;Personne morale et organisme soumis au droit administratif
Autre organisme mutualiste ;Organisme mutualiste;Organisme privé spécialisé
Autre SA coopérative à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Autre personne morale de droit étranger ;Personne morale de droit étranger, non immatriculée au RCS;Personne morale de droit étranger
Syndicat intercommunal à vocation multiple (SIVOM) ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SA coopérative d'intérêt maritime à directoire ;Société anonyme à directoire;Société commerciale
SARL coopérative de production (SCOP);Société à responsabilité limitée (SARL);Société commerciale
Communauté de villes ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Syndicat patronal ;Organisme professionnel;Organisme privé spécialisé
Communauté d'agglomération ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Société anonyme mixte d'intérêt agricole (SMIA) à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Mutuelle ;Organisme mutualiste;Organisme privé spécialisé
Société de Participations Financières de Profession Libérale Société anonyme à conseil d'administration (SPFPL SA à conseil d'administration);Société anonyme à conseil d'administration;Société commerciale
Société d'exercice libéral par action simplifiée ;Société par actions simplifiée;Société commerciale
Ecole nationale non dotée de la personnalité morale ;Administration de l'état;Personne morale et organisme soumis au droit administratif
Groupement de coopération sanitaire à gestion privée ;Autre personne morale de droit privé;Groupement de droit privé
Autre établissement public local de coopération non spécialisé ou entente ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
SARL d'économie mixte ;Société à responsabilité limitée (SARL);Société commerciale
État, collectivité ou établissement public étranger;Personne morale de droit étranger, non immatriculée au RCS;Personne morale de droit étranger
Société en nom collectif coopérative ;Société en nom collectif;Société commerciale
Safer anonyme à directoire ;Société anonyme à directoire;Société commerciale
Régime général de la Sécurité Sociale;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
SCP de médecins ;Société civile;Autre personne morale immatriculée au RCS
Régime spécial de Sécurité Sociale;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Groupement forestier ;Société civile;Autre personne morale immatriculée au RCS
Société coopérative de production de HLM anonyme à directoire ;Société anonyme à directoire;Société commerciale
Autre société civile professionnelle;Société civile;Autre personne morale immatriculée au RCS
Communauté urbaine ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Régime vieillesse ne dépendant pas du régime général de la Sécurité Sociale;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Institution de prévoyance ;Organisme de retraite à adhésion non obligatoire;Organisme privé spécialisé
Autre organisme professionnel ;Organisme professionnel;Organisme privé spécialisé
Organisation internationale ;Personne morale de droit étranger, non immatriculée au RCS;Personne morale de droit étranger
Ordre professionnel ou assimilé ;Organisme professionnel;Organisme privé spécialisé
SA coopérative de production  (SCOP) à conseil d'administration;Société anonyme à conseil d'administration;Société commerciale
Autorité administrative ou publique indépendante;Administration de l'état;Personne morale et organisme soumis au droit administratif
Société en participation entre personnes physiques ;Société en participation;Groupement de droit privé non doté de la personnalité morale
Société coopérative agricole ;Société coopérative agricole;Autre personne morale immatriculée au RCS
Association déclarée, reconnue d'utilité publique;Association loi 1901 ou assimilé;Groupement de droit privé
SARL coopérative de consommation ;Société à responsabilité limitée (SARL);Société commerciale
Représentation ou agence commerciale d'état ou organisme public étranger immatriculé au RCS ;Personne morale de droit étranger, immatriculée au RCS (registre du commerce et des sociétés);Personne morale de droit étranger
Société civile coopérative entre médecins ;Société civile;Autre personne morale immatriculée au RCS
Association déclarée ;Association loi 1901 ou assimilé;Groupement de droit privé
Société d'assurance à forme mutuelle;Société d'assurance mutuelle;Autre personne morale immatriculée au RCS
SA d'économie mixte à conseil d'administration ;Société anonyme à conseil d'administration;Société commerciale
Autre SA coopérative à directoire;Société anonyme à directoire;Société commerciale
Groupement d'intérêt économique (GIE) ;Groupement d'intérêt économique;Autre personne morale immatriculée au RCS
Institution de retraite complémentaire ;Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Collectivité et territoire d'Outre Mer;Collectivité territoriale;Personne morale et organisme soumis au droit administratif
Syndicat mixte ouvert;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Société étrangère non immatriculée au RCS ;Personne morale de droit étranger, non immatriculée au RCS;Personne morale de droit étranger
SA à directoire (s.a.i.);Société anonyme à directoire;Société commerciale
Commune et commune nouvelle ;Collectivité territoriale;Personne morale et organisme soumis au droit administratif
Société en nom collectif ;Société en nom collectif;Société commerciale
Société de caution mutuelle ;Société coopérative commerciale particulière;Société commerciale
Établissement public national à caractère administratif ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Syndicat mixte fermé ;Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Caisse locale de crédit mutuel ;Société civile;Autre personne morale immatriculée au RCS
Institution Banque de France ;Etablissement public ou régie à caractère industriel ou commercial;Personne morale de droit public soumise au droit commercial
Société d'exercice libéral à responsabilité limitée ;Société à responsabilité limitée (SARL);Société commerciale
Congrégation ;Association loi 1901 ou assimilé;Groupement de droit privé
SCP de greffiers de tribunal de commerce ;Société civile;Autre personne morale immatriculée au RCS
Société commerciale étrangère immatriculée au RCS;Personne morale de droit étranger, immatriculée au RCS (registre du commerce et des sociétés);Personne morale de droit étranger
Société d'exercice libéral à forme anonyme à directoire ;Société anonyme à directoire;Société commerciale
