classeActivite;groupeActivite;divisionActivite;sectionActivite
Fabrication de meubles de bureau et de magasin;Fabrication de meubles;Fabrication de meubles;Industrie manufacturière
Commerce de détail d'articles d'horlogerie et de bijouterie en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Commerce de gros de meubles, de tapis et d'appareils d'éclairage;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Autres travaux de finition;Travaux de finition;Travaux de construction spécialisés;Construction
Fabrication d'articles de sport;Fabrication d'articles de sport;Autres industries manufacturières;Industrie manufacturière
Fabrication de portes et fenêtres en métal;Fabrication d'éléments en métal pour la construction;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Laminage à froid de feuillards;Fabrication d'autres produits de première transformation de l'acier;Métallurgie;Industrie manufacturière
Fabrication d'autres pompes et compresseurs;Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Fabrication d'autres produits métalliques n.c.a.;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Fabrication de vis et de boulons;Fabrication d'autres ouvrages en métaux;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Autres travaux de construction spécialisés n.c.a.;Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
Manutention;Services auxiliaires des transports;Entreposage et services auxiliaires des transports;Transports et entreposage
Fabrication de matières plastiques de base;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Fabrication d'autres articles à mailles;Fabrication d'articles à mailles;Industrie de l'habillement;Industrie manufacturière
Culture de plantes à épices, aromatiques, médicinales et pharmaceutiques;Cultures permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de machines pour l'extraction ou la construction;Fabrication d'autres machines d'usage spécifique;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Construction de bateaux de plaisance;Construction navale;Fabrication d'autres matériels de transport;Industrie manufacturière
Fabrication de câbles de fibres optiques;Fabrication de fils et câbles et de matériel d'installation électrique;Fabrication d'équipements électriques;Industrie manufacturière
Tissage;Tissage;Fabrication de textiles;Industrie manufacturière
Distribution de films cinématographiques, de vidéo et de programmes de télévision;Activités cinématographiques, vidéo et de télévision;"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Non renseigné;Non renseigné;Non renseigné;Non renseigné
Fabrication de produits azotés et d'engrais;Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Enseignement secondaire technique ou professionnel;Enseignement secondaire;Enseignement;Enseignement
Commerce de gros d'autres machines et équipements;Commerce de gros d'autres équipements industriels;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Travaux de préparation des sites;Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Autres activités manufacturières n.c.a.;Activités manufacturières n.c.a.;Autres industries manufacturières;Industrie manufacturière
Travaux de menuiserie;Travaux de finition;Travaux de construction spécialisés;Construction
Activités des organisations patronales et consulaires;Activités des organisations économiques, patronales et professionnelles;Activités des organisations associatives;Autres activités de services
Élevage de chevaux et d'autres équidés;Production animale;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Fabrication de produits amylacés;"Travail des grains; fabrication de produits amylacés";Industries alimentaires;Industrie manufacturière
Réparation d'articles d'horlogerie et de bijouterie;Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Administration publique générale;Administration générale, économique et sociale;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Télécommunications filaires;Télécommunications filaires;Télécommunications;Information et communication
Commerce de détail de textiles en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Location et location-bail de matériels de transport par eau;Location et location-bail d'autres machines, équipements et biens;Activités de location et location-bail;Activités de services administratifs et de soutien
Commerce de détail de matériels audio/vidéo en magasin spécialisé;Commerce de détail d'équipements de l'information et de la communication en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de charpentes et d'autres menuiseries;Fabrication d'articles en bois, liège, vannerie et sparterie;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Fabrication de tubes, tuyaux, profilés creux et accessoires correspondants en acier;Métallurgie;Industrie manufacturière
Culture de légumes, de melons, de racines et de tubercules;Cultures non permanentes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de détail de tapis, moquettes et revêtements de murs et de sols en magasin spécialisé;Commerce de détail d'autres équipements du foyer en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités de conditionnement;Activités de soutien aux entreprises n.c.a.;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Commerce de gros d'articles d'horlogerie et de bijouterie;Commerce de gros de biens domestiques;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction de lignite;Extraction de lignite;Extraction de houille et de lignite;Industries extractives
Enseignement de la conduite;Autres activités d'enseignement;Enseignement;Enseignement
Activités photographiques;Activités photographiques;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Commerce de détail de livres en magasin spécialisé;Commerce de détail de biens culturels et de loisirs en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Aquaculture en eau douce;Aquaculture;Pêche et aquaculture;Agriculture, sylviculture et pêche
Autre commerce de détail de biens neufs en magasin spécialisé;Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
