classeCategorieJuridique;superClasseCategorieJuridique
Société en participation;Groupement de droit privé non doté de la personnalité morale
Personne morale de droit étranger, non immatriculée au RCS;Personne morale de droit étranger
Etablissement public ou régie à caractère industriel ou commercial;Personne morale de droit public soumise au droit commercial
Société civile;Autre personne morale immatriculée au RCS
Entrepreneur individuel;Entrepreneur individuel
Personne morale de droit étranger, immatriculée au RCS (registre du commerce et des sociétés);Personne morale de droit étranger
Fiducie ;Groupement de droit privé non doté de la personnalité morale
Association loi 1901 ou assimilé;Groupement de droit privé
Autre personne morale de droit public administratif;Personne morale et organisme soumis au droit administratif
Organisme mutualiste;Organisme privé spécialisé
Société à responsabilité limitée (SARL);Société commerciale
Administration de l'état;Personne morale et organisme soumis au droit administratif
Société créée de fait;Groupement de droit privé non doté de la personnalité morale
Collectivité territoriale;Personne morale et organisme soumis au droit administratif
Société anonyme à directoire;Société commerciale
Société en nom collectif;Société commerciale
Autre personne morale de droit privé;Groupement de droit privé
Groupement d'intérêt économique;Autre personne morale immatriculée au RCS
Paroisse hors zone concordataire;Groupement de droit privé non doté de la personnalité morale
Organisme de retraite à adhésion non obligatoire;Organisme privé spécialisé
Organisme gérant un régime de protection sociale à adhésion obligatoire;Organisme privé spécialisé
Organisme de placement collectif en valeurs mobilières sans personnalité morale;Organisme de placement collectif en valeurs mobilières sans personnalité morale
Société par actions simplifiée;Société commerciale
Syndicat de propriétaires;Groupement de droit privé
Etablissement public administratif;Personne morale et organisme soumis au droit administratif
Société d'assurance mutuelle;Autre personne morale immatriculée au RCS
Assujetti unique à la TVA;Groupement de droit privé non doté de la personnalité morale
Société coopérative commerciale particulière;Société commerciale
Autre groupement de droit privé non doté de la personnalité morale;Groupement de droit privé non doté de la personnalité morale
Indivision;Groupement de droit privé non doté de la personnalité morale
Société coopérative agricole;Autre personne morale immatriculée au RCS
Non renseigné;Non renseigné
Autre personne morale de droit privé inscrite au registre du commerce et des sociétés;Autre personne morale immatriculée au RCS
Société en commandite;Société commerciale
Comité d'entreprise;Organisme privé spécialisé
Société européenne ;Société commerciale
Fondation;Groupement de droit privé
Organisme professionnel;Organisme privé spécialisé
Caisse d'épargne et de prévoyance;Autre personne morale immatriculée au RCS
Société anonyme à conseil d'administration;Société commerciale
