departement;region;pays
Allier;Auvergne-Rhône-Alpes;France
Loire-Atlantique;Pays de la Loire;France
Aube;Grand Est;France
Doubs;Bourgogne-Franche-Comté;France
Aude;Occitanie;France
Bas-Rhin;Grand Est;France
Cher;Centre-Val de Loire;France
Morbihan;Bretagne;France
Loire;Auvergne-Rhône-Alpes;France
Hautes-Alpes;Provence-Alpes-Côte d'Azur;France
Marne;Grand Est;France
Nord;Hauts-de-France;France
Vaucluse;Provence-Alpes-Côte d'Azur;France
Seine-et-Marne;Île-de-France;France
Haute-Savoie;Auvergne-Rhône-Alpes;France
Finistère;Bretagne;France
Gard;Occitanie;France
Côtes-d'Armor;Bretagne;France
Haute-Corse;Corse;France
Corse-du-Sud;Corse;France
Vienne;Nouvelle-Aquitaine;France
Territoire de Belfort;Bourgogne-Franche-Comté;France
Loiret;Centre-Val de Loire;France
Dordogne;Nouvelle-Aquitaine;France
Ain;Auvergne-Rhône-Alpes;France
Maine-et-Loire;Pays de la Loire;France
Val-d'Oise;Île-de-France;France
Ardennes;Grand Est;France
Pyrénées-Orientales;Occitanie;France
Creuse;Nouvelle-Aquitaine;France
Puy-de-Dôme;Auvergne-Rhône-Alpes;France
Haute-Garonne;Occitanie;France
Gironde;Nouvelle-Aquitaine;France
Somme;Hauts-de-France;France
Pyrénées-Atlantiques;Nouvelle-Aquitaine;France
Charente-Maritime;Nouvelle-Aquitaine;France
Cantal;Auvergne-Rhône-Alpes;France
Ardèche;Auvergne-Rhône-Alpes;France
Eure;Normandie;France
Aisne;Hauts-de-France;France
Haut-Rhin;Grand Est;France
Haute-Vienne;Nouvelle-Aquitaine;France
Gers;Occitanie;France
Val-de-Marne;Île-de-France;France
Eure-et-Loir;Centre-Val de Loire;France
Côte-d'Or;Bourgogne-Franche-Comté;France
Ariège;Occitanie;France
Hérault;Occitanie;France
Bouches-du-Rhône;Provence-Alpes-Côte d'Azur;France
Sarthe;Pays de la Loire;France
Landes;Nouvelle-Aquitaine;France
Hautes-Pyrénées;Occitanie;France
Aveyron;Occitanie;France
Vendée;Pays de la Loire;France
Mayenne;Pays de la Loire;France
Calvados;Normandie;France
Essonne;Île-de-France;France
Deux-Sèvres;Nouvelle-Aquitaine;France
Drôme;Auvergne-Rhône-Alpes;France
Seine-Saint-Denis;Île-de-France;France
Seine-Maritime;Normandie;France
Isère;Auvergne-Rhône-Alpes;France
Moselle;Grand Est;France
Meuse;Grand Est;France
Haute-Marne;Grand Est;France
Haute-Loire;Auvergne-Rhône-Alpes;France
Yonne;Bourgogne-Franche-Comté;France
Orne;Normandie;France
Lozère;Occitanie;France
Alpes-Maritimes;Provence-Alpes-Côte d'Azur;France
Tarn-et-Garonne;Occitanie;France
