divisionActivite;sectionActivite
Activités des ménages en tant qu'employeurs de personnel domestique;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Construction de bâtiments;Construction
Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";Activités spécialisées, scientifiques et techniques
Programmation, conseil et autres activités informatiques;Information et communication
Réparation et installation de machines et d'équipements;Industrie manufacturière
Transports aériens;Transports et entreposage
Pêche et aquaculture;Agriculture, sylviculture et pêche
Entreposage et services auxiliaires des transports;Transports et entreposage
Organisation de jeux de hasard et d'argent;Arts, spectacles et activités récréatives
Hébergement médico-social et social;Santé humaine et action sociale
Enseignement;Enseignement
Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Extraction d'hydrocarbures;Industries extractives
Travaux de construction spécialisés;Construction
Extraction de minerais métalliques;Industries extractives
Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Fabrication d'autres matériels de transport;Industrie manufacturière
Extraction de houille et de lignite;Industries extractives
Industrie chimique;Industrie manufacturière
Activités immobilières;Activités immobilières
Fabrication de boissons;Industrie manufacturière
Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Cokéfaction et raffinage;Industrie manufacturière
Activités créatives, artistiques et de spectacle;Arts, spectacles et activités récréatives
Télécommunications;Information et communication
Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Collecte et traitement des eaux usées;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Non renseigné;Non renseigné
Activités des organisations associatives;Autres activités de services
Programmation et diffusion;Information et communication
Services d'information;Information et communication
Activités liées à l'emploi;Activités de services administratifs et de soutien
Activités de poste et de courrier;Transports et entreposage
Transports terrestres et transport par conduites;Transports et entreposage
Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
"Production de films cinématographiques, de vidéo et de programmes de télévision; enregistrement sonore et édition musicale";Information et communication
Activités vétérinaires;Activités spécialisées, scientifiques et techniques
Dépollution et autres services de gestion des déchets;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Transports par eau;Transports et entreposage
Industrie du cuir et de la chaussure;Industrie manufacturière
Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Action sociale sans hébergement;Santé humaine et action sociale
Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Autres industries extractives;Industries extractives
Autres services personnels;Autres activités de services
Fabrication de textiles;Industrie manufacturière
Services relatifs aux bâtiments et aménagement paysager;Activités de services administratifs et de soutien
Industrie du papier et du carton;Industrie manufacturière
Fabrication de produits en caoutchouc et en plastique;Industrie manufacturière
Bibliothèques, archives, musées et autres activités culturelles;Arts, spectacles et activités récréatives
Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Autres industries manufacturières;Industrie manufacturière
Imprimerie et reproduction d'enregistrements;Industrie manufacturière
Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Génie civil;Construction
Industrie automobile;Industrie manufacturière
Restauration;Hébergement et restauration
"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Fabrication de produits à base de tabac;Industrie manufacturière
Activités juridiques et comptables;Activités spécialisées, scientifiques et techniques
Assurance;Activités financières et d'assurance
Fabrication de meubles;Industrie manufacturière
Édition;Information et communication
Industrie de l'habillement;Industrie manufacturière
"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Métallurgie;Industrie manufacturière
Activités pour la santé humaine;Santé humaine et action sociale
Hébergement;Hébergement et restauration
"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";Industrie manufacturière
Services de soutien aux industries extractives;Industries extractives
Industrie pharmaceutique;Industrie manufacturière
Fabrication d'équipements électriques;Industrie manufacturière
"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Enquêtes et sécurité;Activités de services administratifs et de soutien
Industries alimentaires;Industrie manufacturière
Activités de location et location-bail;Activités de services administratifs et de soutien
Captage, traitement et distribution d'eau;"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Activités des organisations et organismes extraterritoriaux;Activités extra-territoriales
Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
