groupeActivite;divisionActivite;sectionActivite
Fonds de placement et entités financières similaires;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Fabrication de produits chimiques de base, de produits azotés et d'engrais, de matières plastiques de base et de caoutchouc synthétique;Industrie chimique;Industrie manufacturière
Transports maritimes et côtiers de passagers;Transports par eau;Transports et entreposage
Cokéfaction;Cokéfaction et raffinage;Industrie manufacturière
Construction d'autres ouvrages de génie civil;Génie civil;Construction
Fabrication de peintures, vernis, encres et mastics;Industrie chimique;Industrie manufacturière
Autre mise à disposition de ressources humaines;Activités liées à l'emploi;Activités de services administratifs et de soutien
Services de soutien à l'exploitation forestière;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Activités des sièges sociaux;"Activités des sièges sociaux; conseil de gestion";Activités spécialisées, scientifiques et techniques
Transformation et conservation de poisson, de crustacés et de mollusques;Industries alimentaires;Industrie manufacturière
Édition de logiciels;Édition;Information et communication
Activités auxiliaires d'assurance et de caisses de retraite;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Autres activités de télécommunication;Télécommunications;Information et communication
Restaurants et services de restauration mobile;Restauration;Hébergement et restauration
Activités des ménages en tant qu'employeurs de personnel domestique;Activités des ménages en tant qu'employeurs de personnel domestique;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Activités récréatives et de loisirs;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Activités de centres d'appels;Activités administratives et autres activités de soutien aux entreprises;Activités de services administratifs et de soutien
Fabrication de générateurs de vapeur, à l'exception des chaudières pour le chauffage central;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Sylviculture et autres activités forestières;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Activités liées au sport;Activités sportives, récréatives et de loisirs;Arts, spectacles et activités récréatives
Programmation, conseil et autres activités informatiques;Programmation, conseil et autres activités informatiques;Information et communication
Récolte de produits forestiers non ligneux poussant à l'état sauvage;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Télécommunications par satellite;Télécommunications;Information et communication
Autres commerces de gros spécialisés;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Extraction de pierres, de sables et d'argiles;Autres industries extractives;Industries extractives
Entretien et réparation de véhicules automobiles;Commerce et réparation d'automobiles et de motocycles;"Commerce; réparation d'automobiles et de motocycles"
"Travail des grains; fabrication de produits amylacés";Industries alimentaires;Industrie manufacturière
Activités des autres organisations associatives;Activités des organisations associatives;Autres activités de services
Fabrication de boissons;Fabrication de boissons;Industrie manufacturière
Location-bail de propriété intellectuelle et de produits similaires, à l'exception des œuvres soumises à copyright;Activités de location et location-bail;Activités de services administratifs et de soutien
Activités manufacturières n.c.a.;Autres industries manufacturières;Industrie manufacturière
Transports fluviaux de passagers;Transports par eau;Transports et entreposage
Tissage;Fabrication de textiles;Industrie manufacturière
Fabrication d'autres produits en céramique et en porcelaine;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Fabrication de machines d'usage général;Fabrication de machines et équipements n.c.a.;Industrie manufacturière
Installation de machines et d'équipements industriels;Réparation et installation de machines et d'équipements;Industrie manufacturière
Activités de soutien aux autres industries extractives;Services de soutien aux industries extractives;Industries extractives
Autres services d'information;Services d'information;Information et communication
Fabrication d'appareils d'éclairage électrique;Fabrication d'équipements électriques;Industrie manufacturière
Production de métaux précieux et d'autres métaux non ferreux;Métallurgie;Industrie manufacturière
Autres activités d'enseignement;Enseignement;Enseignement
Transformation et conservation de la viande et préparation de produits à base de viande;Industries alimentaires;Industrie manufacturière
Activités photographiques;Autres activités spécialisées, scientifiques et techniques;Activités spécialisées, scientifiques et techniques
Autres commerces de détail en magasin spécialisé;Commerce de détail, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Fabrication de savons, de produits d'entretien et de parfums;Industrie chimique;Industrie manufacturière
Fabrication d'autres textiles;Fabrication de textiles;Industrie manufacturière
Gestion de fonds;Activités auxiliaires de services financiers et d'assurance;Activités financières et d'assurance
Collecte des déchets;"Collecte, traitement et élimination des déchets; récupération";"Production et distribution d'eau; assainissement, gestion des déchets et dépollution"
Programmation de télévision et télédiffusion;Programmation et diffusion;Information et communication
Activités de soutien à l'extraction d'hydrocarbures;Services de soutien aux industries extractives;Industries extractives
Fabrication de moteurs, génératrices et transformateurs électriques et de matériel de distribution et de commande électrique;Fabrication d'équipements électriques;Industrie manufacturière
Fabrication de composants et cartes électroniques;Fabrication de produits informatiques, électroniques et optiques;Industrie manufacturière
Autre action sociale sans hébergement;Action sociale sans hébergement;Santé humaine et action sociale
Fabrication de matériaux de construction en terre cuite;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Activités indifférenciées des ménages en tant que producteurs de services pour usage propre;Activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre"
Fabrication de ciment, chaux et plâtre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Production et distribution de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné;Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné
Exploitation forestière;Sylviculture et exploitation forestière;Agriculture, sylviculture et pêche
Activités juridiques;Activités juridiques et comptables;Activités spécialisées, scientifiques et techniques
Transports aériens de fret et transports spatiaux;Transports aériens;Transports et entreposage
Démolition et préparation des sites;Travaux de construction spécialisés;Construction
Fabrication d'articles de sport;Autres industries manufacturières;Industrie manufacturière
Recherche-développement en sciences physiques et naturelles;Recherche-développement scientifique;Activités spécialisées, scientifiques et techniques
Extraction de lignite;Extraction de houille et de lignite;Industries extractives
Taille, façonnage et finissage de pierres;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Autres services de réservation et activités connexes;Activités des agences de voyage, voyagistes, services de réservation et activités connexes;Activités de services administratifs et de soutien
Sécurité sociale obligatoire;"Administration publique et défense; sécurité sociale obligatoire";Administration publique
Activités de sécurité privée;Enquêtes et sécurité;Activités de services administratifs et de soutien
Publicité;Publicité et études de marché;Activités spécialisées, scientifiques et techniques
Transports ferroviaires de fret;Transports terrestres et transport par conduites;Transports et entreposage
Assurance;Assurance;Activités financières et d'assurance
Réparation de biens personnels et domestiques;Réparation d'ordinateurs et de biens personnels et domestiques;Autres activités de services
Fabrication de réservoirs, citernes et conteneurs métalliques;Fabrication de produits métalliques, à l'exception des machines et des équipements;Industrie manufacturière
Action sociale sans hébergement pour personnes âgées et pour personnes handicapées;Action sociale sans hébergement;Santé humaine et action sociale
Fabrication de produits pharmaceutiques de base;Industrie pharmaceutique;Industrie manufacturière
Fabrication de verre et d'articles en verre;Fabrication d'autres produits minéraux non métalliques;Industrie manufacturière
Enseignement secondaire;Enseignement;Enseignement
Autres activités pour la santé humaine;Activités pour la santé humaine;Santé humaine et action sociale
Commerce de gros d'équipements de l'information et de la communication;Commerce de gros, à l'exception des automobiles et des motocycles;"Commerce; réparation d'automobiles et de motocycles"
Hébergement social pour personnes handicapées mentales, malades mentales et toxicomanes;Hébergement médico-social et social;Santé humaine et action sociale
Intermédiation monétaire;Activités des services financiers, hors assurance et caisses de retraite;Activités financières et d'assurance
Préparation de fibres textiles et filature;Fabrication de textiles;Industrie manufacturière
Location et exploitation de biens immobiliers propres ou loués;Activités immobilières;Activités immobilières
Activités de soutien à l'agriculture et traitement primaire des récoltes;Culture et production animale, chasse et services annexes;Agriculture, sylviculture et pêche
Autres travaux de construction spécialisés;Travaux de construction spécialisés;Construction
"Traitement de données, hébergement et activités connexes; portails Internet";Services d'information;Information et communication
