region;pays
Nouvelle-Aquitaine;France
Provence-Alpes-Côte d'Azur;France
Martinique;France
Normandie;France
Bourgogne-Franche-Comté;France
Île-de-France;France
La Réunion;France
Mayotte;France
Pays de la Loire;France
Guyane;France
Centre-Val de Loire;France
Corse;France
Auvergne-Rhône-Alpes;France
Bretagne;France
Guadeloupe;France
Grand Est;France
Occitanie;France
Hauts-de-France;France
Polynésie française;France
Saint--Barthélemy;France
Saint-Martin;France
Saint-Pierre et Miquelon;France
Monaco;Monaco
Région générique pour France;France
Région générique pour Danemark;Danemark
Région générique pour Islande;Islande
Région générique pour Norvège;Norvège
Région générique pour Suède;Suède
Région générique pour Finlande;Finlande
Région générique pour Estonie;Estonie
Région générique pour Lettonie;Lettonie
Région générique pour Lituanie;Lituanie
Région générique pour Allemagne;Allemagne
Région générique pour Autriche;Autriche
Région générique pour Bulgarie;Bulgarie
Région générique pour Hongrie;Hongrie
Région générique pour Liechtenstein;Liechtenstein
Région générique pour Roumanie;Roumanie
Région générique pour Tchéquie;Tchéquie
Région générique pour Slovaquie;Slovaquie
Région générique pour Bosnie-Herzégovine;Bosnie-Herzégovine
Région générique pour Croatie;Croatie
Région générique pour Monténégro;Monténégro
Région générique pour Serbie;Serbie
Région générique pour Pologne;Pologne
Région générique pour Russie;Russie
Région générique pour Albanie;Albanie
Région générique pour Grèce;Grèce
Région générique pour Italie;Italie
Région générique pour Saint-Marin;Saint-Marin
Région générique pour Vatican;Vatican
Région générique pour Andorre;Andorre
Région générique pour Belgique;Belgique
Région générique pour Royaume-Uni;Royaume-Uni
Région générique pour Territoires britanniques en Méditerranée;Territoires britanniques en Méditerranée
Région générique pour Espagne;Espagne
Région générique pour Pays-Bas;Pays-Bas
Région générique pour Irlande;Irlande
Région générique pour Luxembourg;Luxembourg
Région générique pour Monaco;Monaco
Région générique pour Portugal;Portugal
Région générique pour Suisse;Suisse
Région générique pour Malte;Malte
Région générique pour Slovénie;Slovénie
Région générique pour Biélorussie;Biélorussie
Région générique pour Moldavie;Moldavie
Région générique pour Ukraine;Ukraine
Région générique pour Macédoine du Nord;Macédoine du Nord
Région générique pour Kosovo;Kosovo
Région générique pour Féroé;Féroé
Région générique pour Territoires norvégiens en Atlantique Nord;Territoires norvégiens en Atlantique Nord
Région générique pour Åland;Åland
Région générique pour Dépendances de la Couronne britannique;Dépendances de la Couronne britannique
Région générique pour Arabie saoudite;Arabie saoudite
Région générique pour Irak;Irak
Région générique pour Iran;Iran
Région générique pour Liban;Liban
Région générique pour Syrie;Syrie
Région générique pour Israël;Israël
Région générique pour Turquie;Turquie
Région générique pour Afghanistan;Afghanistan
Région générique pour Pakistan;Pakistan
Région générique pour Bhoutan;Bhoutan
Région générique pour Népal;Népal
Région générique pour Chine;Chine
Région générique pour Japon;Japon
Région générique pour Thaïlande;Thaïlande
Région générique pour Philippines;Philippines
Région générique pour Jordanie;Jordanie
Région générique pour Inde;Inde
Région générique pour Birmanie;Birmanie
